시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,평일 운영시간,주말 운영시간,무료주차 가능여부,발렛주차 가능여부,유아의자 대여여부,휠체어 보유여부,애완동물 동반입장 가능여부,채식메뉴 보유여부,할랄음식 여부,글루텐프리 음식여부,최종작성일
싸바이,음식점/유흥시설,동남아시아음식,인도,서울특별시,용산구,한강로2가,,2-192 번지,한강대로39길,20 번,37.531171,126.968155,4376,서울특별시 용산구 한강대로39길 20,서울특별시 용산구 한강로2가  2-192,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸얌타이,음식점/유흥시설,동남아시아음식,태국,충청남도,천안시 동남구,사직동,,275-4 번지,대흥로,109 번,36.799605,127.150403,31130,충청남도 천안시 동남구 대흥로 109,충청남도 천안시 동남구 사직동  275-4,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸오타이,음식점/유흥시설,동남아시아음식,태국,경기도,안양시 동안구,평촌동,,126-1 번지,흥안대로,415 번,37.391649,126.972966,14059,경기도 안양시 동안구 흥안대로 415,경기도 안양시 동안구 평촌동  126-1,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸와디식당,음식점/유흥시설,동남아시아음식,인도,부산광역시,남구,대연동,,43-2 번지,수영로346번길,46 번,35.137038,129.104555,48511,부산광역시 남구 수영로346번길 46,부산광역시 남구 대연동  43-2,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸와디식당,음식점/유흥시설,동남아시아음식,인도,부산광역시,수영구,민락동,,774 번지,무학로63번길,142 번,35.167986,129.119899,48272,부산광역시 수영구 무학로63번길 142,부산광역시 수영구 민락동  774,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸와디식당,음식점/유흥시설,동남아시아음식,인도,부산광역시,해운대구,좌동,,1479-1 번지,해운대로,802 번,35.169155,129.176661,48111,부산광역시 해운대구 해운대로 802,부산광역시 해운대구 좌동  1479-1,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸와디식당,음식점/유흥시설,동남아시아음식,인도,울산광역시,동구,전하동,,660-1 번지,봉수로,250 번,35.508603,129.424811,44046,울산광역시 동구 봉수로 250,울산광역시 동구 전하동  660-1,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸왓디타이,음식점/유흥시설,동남아시아음식,태국,서울특별시,노원구,상계동,,323-29 번지,노해로85길,1 번,37.655569,127.065104,1695,서울특별시 노원구 노해로85길 1,서울특별시 노원구 상계동  323-29,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸이공레시피,음식점/유흥시설,동남아시아음식,베트남,서울특별시,마포구,성산동,,245-47 번지,성미산로,29-1 번,37.55889,126.911561,3968,서울특별시 마포구 성미산로 29-1,서울특별시 마포구 성산동 245-47,02-323-4018,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸이공스타,음식점/유흥시설,동남아시아음식,인도,경기도,남양주시,화도읍,마석우리,372-3 번지,맷돌로130번길,8-7 번,37.656985,127.304379,12175,경기도 남양주시 맷돌로130번길 8-7,경기도 남양주시 화도읍 마석우리 372-3,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싸이퍼 디 오리지날,음식점/유흥시설,동남아시아음식,베트남,서울특별시,중구,명동2가,,2-21 번지,명동10길,19-27 번,37.563172,126.985836,4537,서울특별시 중구 명동10길 19-27,서울특별시 중구 명동2가 2-21 디자이너스빌딩,070-8868-0424,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
싼타루치아,음식점/유흥시설,유럽음식,이탈리아,경기도,안양시 동안구,관양동,,1591 번지,시민대로,230 번,37.392314,126.956517,14067,경기도 안양시 동안구 시민대로 230,경기도 안양시 동안구 관양동  1591,0507-1400-7000,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
쌀국수 나라,음식점/유흥시설,동남아시아음식,베트남,부산광역시,금정구,금사동,,385-2 번지,금사로,89-1 번,35.220668,129.11199,46264,부산광역시 금정구 금사로 89-1,부산광역시 금정구 금사동 385-2,정보없음,08시-21시,08시-21시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수나라,음식점/유흥시설,동남아시아음식,베트남,강원도,동해시,천곡동,,1047-3 번지,샘실1길,3 번,37.519951,129.104891,25765,강원도 동해시 샘실1길 3,강원도 동해시 천곡동  1047-3,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수마을420,음식점/유흥시설,동남아시아음식,베트남,서울특별시,양천구,신정동,,1022-9 번지,중앙로32길,55 번,37.519858,126.859731,8086,서울특별시 양천구 중앙로32길 55,서울특별시 양천구 신정동  1022-9,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수반가,음식점/유흥시설,동남아시아음식,베트남,경기도,의왕시,내손동,,763 번지,갈미1로,5 번,37.378976,126.9735,16039,경기도 의왕시 갈미1로 5,경기도 의왕시 내손동  763,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수식품,음식점/유흥시설,동남아시아음식,베트남,충청북도,옥천군,옥천읍,금구리,170-2 번지,삼금로3길,18 번,36.301598,127.566766,29038,충청북도 옥천군 삼금로3길 18,충청북도 옥천군 옥천읍 금구리 170-2,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수응온포,음식점/유흥시설,동남아시아음식,베트남,경기도,고양시 일산동구,장항동,,863-1 번지,정발산로,15 번,37.656419,126.770645,10402,경기도 고양시 일산동구 정발산로 15,경기도 고양시 일산동구 장항동  863-1,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수의달인,음식점/유흥시설,동남아시아음식,베트남,서울특별시,강서구,등촌동,,701 번지,공항대로,351-21 번,37.559069,126.846477,7587,서울특별시 강서구 공항대로 351-21,서울특별시 강서구 등촌동  701,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수이야기,음식점/유흥시설,동남아시아음식,베트남,대전광역시,유성구,지족동,,910-9 번지,은구비남로33번길,46 번,36.374217,127.31947,34086,대전광역시 유성구 은구비남로33번길 46,대전광역시 유성구 지족동  910-9,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수집,음식점/유흥시설,동남아시아음식,베트남,경상북도,구미시,송정동,,64-1 번지,백산로,141 번,36.119459,128.348684,39276,경상북도 구미시 백산로 141,경상북도 구미시 송정동  64-1,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수집을하려던소바집,음식점/유흥시설,동남아시아음식,베트남,경상북도,구미시,산동읍,신당리,1457 번지,신당1로2길,10 번,36.154857,128.432307,39464,경상북도 구미시 신당1로2길 10,경상북도 구미시 산동읍 신당리 1457,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수집이야,음식점/유흥시설,동남아시아음식,베트남,서울특별시,강남구,역삼동,,662 번지,테헤란로39길,68 번,37.506699,127.039671,6138,서울특별시 강남구 테헤란로39길 68,서울특별시 강남구 역삼동  662,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수집이야,음식점/유흥시설,동남아시아음식,베트남,서울특별시,마포구,서교동,,328-19 번지,와우산로29길,30 번,37.555363,126.928419,4052,서울특별시 마포구 와우산로29길 30,서울특별시 마포구 서교동  328-19,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수판다,음식점/유흥시설,동남아시아음식,베트남,경기도,고양시 일산서구,대화동,,1050-185 번지,주엽로,80 번,37.666062,126.756428,10392,경기도 고양시 일산서구 주엽로 80,경기도 고양시 일산서구 대화동  1050-185,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수팩토리,음식점/유흥시설,동남아시아음식,베트남,경기도,광명시,광명동,,158-825 번지,오리로985번안길,3 번,37.479284,126.85321,14286,경기도 광명시 오리로985번안길 3,경기도 광명시 광명동  158-825,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국수HEM,음식점/유흥시설,동남아시아음식,베트남,광주광역시,광산구,월계동,,830-2 번지,첨단중앙로67번길,8-15 번,35.21222,126.842149,62267,광주광역시 광산구 첨단중앙로67번길 8-15,광주광역시 광산구 월계동  830-2,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀국쓰,음식점/유흥시설,동남아시아음식,인도,경기도,군포시,당동,,1033-2 번지,용호1로5번길,23 번,37.341369,126.93732,15873,경기도 군포시 용호1로5번길 23,경기도 군포시 당동  1033-2,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀돈,음식점/유흥시설,동남아시아음식,인도,서울특별시,동작구,상도동,,411 번지,상도로60길,20 번,37.493254,126.954061,7040,서울특별시 동작구 상도로60길 20,서울특별시 동작구 상도동  411,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀뜰쌀국수,음식점/유흥시설,동남아시아음식,베트남,경상남도,양산시,물금읍,가촌리,1280-3 번지,백호로,96 번,35.316078,129.003811,50653,경상남도 양산시 백호로 96,경상남도 양산시 물금읍 가촌리 1280-3,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀뜰홈푸드,음식점/유흥시설,동남아시아음식,인도,부산광역시,수영구,남천동,,74-29 번지,수영로393번길,6 번,35.14197,129.107186,48317,부산광역시 수영구 수영로393번길 6,부산광역시 수영구 남천동  74-29,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀레뻬뻬,음식점/유흥시설,유럽음식,이탈리아,서울특별시,종로구,동숭동,,1-77 번지,대학로8가길,93 번,37.581905,127.003474,3086,서울특별시 종로구 대학로8가길 93,서울특별시 종로구 동숭동  1-77,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀롱빠라디,음식점/유흥시설,유럽음식,프랑스,서울특별시,용산구,이태원동,,72-41 번지,보광로59길,25 번,37.533821,126.99256,4391,서울특별시 용산구 보광로59길 25,서울특별시 용산구 이태원동 72-41,02-790-1553,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌀맛난다,음식점/유흥시설,동남아시아음식,인도,대구광역시,달서구,이곡동,,1310-8 번지,선원로23남길,3 번,35.859434,128.505082,42604,대구광역시 달서구 선원로23남길 3,대구광역시 달서구 이곡동  1310-8,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌈마니,음식점/유흥시설,동남아시아음식,인도,경기도,광명시,철산동,,367 번지,철망산로,87 번,37.470658,126.877752,14243,경기도 광명시 철망산로 87,경기도 광명시 철산동  367,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌈마니,음식점/유흥시설,동남아시아음식,인도,서울특별시,노원구,상계동,,594-2 번지,상계로5길,31 번,37.656827,127.063007,1693,서울특별시 노원구 상계로5길 31,서울특별시 노원구 상계동  594-2,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌈마름,음식점/유흥시설,동남아시아음식,인도,충청남도,부여군,부여읍,관북리,119-5 번지,성왕로,250 번,36.283079,126.914838,33147,충청남도 부여군 성왕로 250,충청남도 부여군 부여읍 관북리 119-5,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌈정원,음식점/유흥시설,동남아시아음식,인도,경상남도,창원시 마산합포구,해운동,,67-17 번지,월영동북로,12 번,35.182046,128.563057,51745,경상남도 창원시 마산합포구 월영동북로 12,경상남도 창원시 마산합포구 해운동  67-17,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌍둥이자매부엌,음식점/유흥시설,동남아시아음식,인도,대구광역시,달성군,구지면,응암리,1179-4 번지,과학마을로2길,39 번,35.653007,128.414507,43009,대구광역시 달성군 과학마을로2길 39,대구광역시 달성군 구지면 응암리 1179-4,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌍세흐,음식점/유흥시설,유럽음식,이탈리아,인천광역시,연수구,송도동,,190-2 번지,송도문화로28번길,28 번,37.374966,126.653827,21986,인천광역시 연수구 송도문화로28번길 28,인천광역시 연수구 송도동  190-2,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌤스토리,음식점/유흥시설,유럽음식,이탈리아,대구광역시,남구,대명동,,1802-12 번지,중앙대로49길,24 번,35.855502,128.589258,42410,대구광역시 남구 중앙대로49길 24,대구광역시 남구 대명동  1802-12,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌥드우돈타니,음식점/유흥시설,동남아시아음식,인도,경기도,안성시,동본동,,21-1 번지,중앙2길,40 번,37.007935,127.271824,17589,경기도 안성시 중앙2길 40,경기도 안성시 동본동  21-1,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌥드우돈타니,음식점/유흥시설,동남아시아음식,인도,경기도,안성시,서인동,,116 번지,중앙로372번길,29-8 번,37.006433,127.268042,17581,경기도 안성시 중앙로372번길 29-8,경기도 안성시 서인동  116,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌥쌥타이,음식점/유흥시설,동남아시아음식,태국,경기도,수원시 팔달구,인계동,,1037-7 번지,인계로138번길,9 번,37.266568,127.032749,16489,경기도 수원시 팔달구 인계로138번길 9,경기도 수원시 팔달구 인계동  1037-7,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌩메종,음식점/유흥시설,유럽음식,프랑스,서울특별시,송파구,신천동,,29 번지,올림픽로,300 번,37.512686,127.101999,5551,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동  29,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
쌩쏨크루아타이,음식점/유흥시설,동남아시아음식,인도,경상북도,경주시,외동읍,모화리,237-20 번지,계동1길,6 번,35.677286,129.333834,38208,경상북도 경주시 계동1길 6,경상북도 경주시 외동읍 모화리 237-20,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
써니네집,음식점/유흥시설,유럽음식,이탈리아,전라북도,전주시 덕진구,장동,,1093-2 번지,중동로,104-14 번,35.84337,127.0646,54861,전라북도 전주시 덕진구 중동로 104-14,전라북도 전주시 덕진구 장동  1093-2,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
써니네집,음식점/유흥시설,유럽음식,이탈리아,전라북도,전주시 완산구,효자동3가,,1528-3 번지,홍산4길,10 번,35.81833,127.109943,54969,전라북도 전주시 완산구 홍산4길 10,전라북도 전주시 완산구 효자동3가  1528-3,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
써니브레드,음식점/유흥시설,동남아시아음식,인도,서울특별시,용산구,후암동,,440 번지,소월로2길,5 번,37.554786,126.976823,4326,서울특별시 용산구 소월로2길 5,서울특별시 용산구 후암동  440,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
써니사이드,음식점/유흥시설,유럽음식,이탈리아,서울특별시,송파구,가락동,,197-17 번지,동남로18길,34 번,37.493452,127.13351,5785,서울특별시 송파구 동남로18길 34,서울특별시 송파구 가락동 197-17 태성빌딩,02-3401-7442,정보없음,정보없음,무료주차 가능,발렛주차 불가,유아의자 대여 가능,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
써니스키친,음식점/유흥시설,유럽음식,이탈리아,서울특별시,양천구,목동,,917 번지,목동서로,155 번,37.529513,126.875171,7997,서울특별시 양천구 목동서로 155,서울특별시 양천구 목동  917,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
써머레인,음식점/유흥시설,오세아니아음식,호주,서울특별시,용산구,이태원동,,224-56 번지,회나무로26길,43 번,37.538569,126.989942,4346,서울특별시 용산구 회나무로26길 43,서울특별시 용산구 이태원동 224-56,02-792-8114,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
써브웨이 - 신설동역점,음식점/유흥시설,북미음식,미국,서울특별시,동대문구,신설동,,76-36 번지,왕산로,15-1 번,37.576527,127.025269,2580,서울특별시 동대문구 왕산로 15-1,서울특별시 동대문구 신설동 76-36,02-928-0258,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
써스티 몽크,음식점/유흥시설,유럽음식,독일,인천광역시,연수구,송도동,,93-1 번지,테크노파크로,151 번,37.388126,126.640802,22004,인천광역시 연수구 테크노파크로 151,인천광역시 연수구 송도동 93-1 오라카이송도파크호텔,032-210-7777,17시-01시,17시-01시,무료주차 가능,발렛주차 불가,유아의자 대여 가능,휠체어 대여 가능,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
써이포차나,음식점/유흥시설,동남아시아음식,인도,서울특별시,도봉구,도봉동,,597-21 번지,도봉로169나길,42 번,37.677853,127.043603,1307,서울특별시 도봉구 도봉로169나길 42,서울특별시 도봉구 도봉동  597-21,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
썬델리,음식점/유흥시설,유럽음식,이탈리아,인천광역시,연수구,송도동,,24-5 번지,컨벤시아대로,160 번,37.390385,126.643592,22004,인천광역시 연수구 컨벤시아대로 160,인천광역시 연수구 송도동  24-5,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
썬샤인,음식점/유흥시설,동아시아음식,일본,경기도,수원시 영통구,원천동,,25-18 번지,아주로,26 번,37.277081,127.044129,16502,경기도 수원시 영통구 아주로 26,경기도 수원시 영통구 원천동 25-18,031-216-2887,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
썬플라자,음식점/유흥시설,유럽음식,이탈리아,서울특별시,중구,소공동,,1 번지,남대문로,81 번,37.564723,126.981763,4533,서울특별시 중구 남대문로 81,서울특별시 중구 소공동  1,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
썰티스플레이스,음식점/유흥시설,유럽음식,이탈리아,경상남도,밀양시,삼문동,,416-7 번지,밀양대로,1853-12 번,35.489284,128.74576,50425,경상남도 밀양시 밀양대로 1853-12,경상남도 밀양시 삼문동  416-7,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
썰티스플레이트,음식점/유흥시설,유럽음식,이탈리아,경상남도,양산시,삼호동,,1010-8 번지,삼호1길,36-13 번,35.413243,129.167777,50529,경상남도 양산시 삼호1길 36-13,경상남도 양산시 삼호동  1010-8,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-10-10
